foameth	foams	2	ok
witnesseth	witnesses	2	ok
seduceth	seduces	2	ok
disgraceth	disgraces	2	ok
threateneth	threatens	1	ok
biteth	bites	1	curated
succeedeth	succeeds	1	ok
hoppeth	hops	1	ok
traileth	trails	1	ok
purifieth	purifies	1	ok
appertaineth	appertains	1	ok
immolateth	immolates	1	ok
consisteth	consists	1	ok
loatheth	loathes	1	curated
apprehendeth	apprehends	1	ok
traineth	trains	1	ok
uncovereth	uncovers	1	ok
fulfilleth	fulfills	1	ok
flyeth	flies	1	ok
mareth	mars	1	curated
winnoweth	winnows	1	ok
pitieth	pities	1	ok
designeth	designs	1	ok
recalleth	recalls	1	ok
leaneth	leans	1	ok
consecrateth	consecrates	1	ok
advanceth	advances	1	ok
purgeth	purges	1	ok
besetteth	besets	1	ok
revengeth	revenges	1	ok
redoundeth	redounds	1	ok
slayeth	slays	1	irregular
disappointeth	disappoints	1	ok
woundeth	wounds	1	ok
cureth	cures	1	ok (corpus cure:9 vs cur:0)
exacteth	exacts	1	ok
girdeth	girds	1	ok
relieveth	relieves	1	ok
suspecteth	suspects	1	ok
glittereth	glitters	1	ok
befalleth	befalls	1	ok
abuseth	abuses	1	ok
straiteneth	straitens	1	ok
bursteth	bursts	1	ok
granteth	grants	1	ok
placeth	places	1	ok
sealeth	seals	1	ok
wrappeth	wraps	1	ok
pranceth	prances	1	ok
contendeth	contends	1	curated
obtaineth	obtains	1	ok
inebreateth	inebriates	1	curated
prospereth	prospers	1	ok
foreseeth	foresees	1	ok
storeth	stores	1	ok
writeth	writes	1	ok (corpus write:95 vs writ:0)
charmeth	charms	1	ok
vanisheth	vanishes	1	ok
appointeth	appoints	1	ok (corpus appoint:37 vs appointe:0)
mounteth	mounts	1	ok
fainteth	faints	1	ok
crowneth	crowns	1	ok
satisfieth	satisfies	1	ok
descendeth	descends	1	ok
softeneth	softens	1	ok
inclineth	inclines	1	ok
issueth	issues	1	ok
sweeteneth	sweetens	1	ok
kisseth	kisses	1	ok
flattereth	flatters	1	ok
snorteth	snorts	1	ok
inebriateth	inebriates	1	ok
gaineth	gains	1	ok (corpus gain:29 vs gaine:0)
dissembleth	dissembles	1	ok
frameth	frames	1	ok (corpus frame:6 vs fram:0)
